id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1489784964;1867102205;2023-08-25 13:54:19;Siedlerchr;open;NA;False;NA;74
1416882262;1784810532;2023-07-02 19:45:23;koppor;closed;2023-09-02 00:51:52;True;2023-09-02 00:51:52;73
1186515510;1520755935;2023-01-05 13:32:54;koppor;closed;2023-01-06 21:04:25;True;2023-01-06 21:04:25;69
1185340026;1519465419;2023-01-04 19:23:36;Siedlerchr;closed;2023-01-09 19:01:06;True;2023-01-09 19:01:06;68
1169943917;1502028286;2022-12-18 20:55:23;koppor;closed;2022-12-18 20:55:39;True;2022-12-18 20:55:38;67
1169900367;1501974412;2022-12-18 17:15:09;Siedlerchr;closed;2022-12-18 23:15:31;True;2022-12-18 23:15:31;66
1149521916;1479726448;2022-12-06 17:37:58;Siedlerchr;closed;2022-12-08 08:05:52;True;2022-12-08 08:05:52;65
1046093451;1361618971;2022-09-05 08:56:28;Siedlerchr;closed;2022-09-06 18:45:58;True;2022-09-06 18:45:58;64
1024189150;1336336985;2022-08-11 18:27:49;HoussemNasri;closed;2022-08-13 20:04:22;True;2022-08-13 20:04:22;63
1016587010;1327526390;2022-08-03 16:45:08;calixtus;closed;2022-08-05 10:11:11;True;2022-08-05 10:11:11;62
924017491;1221067204;2022-04-29 15:18:27;calixtus;closed;2022-05-12 20:03:43;True;2022-05-12 20:03:43;61
920930170;1217680304;2022-04-27 17:37:38;Siedlerchr;closed;2022-04-27 18:34:41;True;2022-04-27 18:34:41;60
920927987;1217677830;2022-04-27 17:34:58;Siedlerchr;closed;2022-04-27 17:35:03;True;2022-04-27 17:35:03;59
919793307;1216382310;2022-04-26 19:23:10;Siedlerchr;closed;2022-04-27 17:33:22;True;2022-04-27 17:33:22;58
875645925;1164334730;2022-03-09 19:13:10;Siedlerchr;closed;2022-03-09 20:23:46;True;2022-03-09 20:23:46;57
805932551;1083933446;2021-12-18 19:52:02;Siedlerchr;closed;2021-12-20 21:49:18;True;2021-12-20 21:49:18;56
731658475;993478804;2021-09-10 18:19:52;Siedlerchr;closed;2021-09-17 17:49:49;True;2021-09-17 17:49:49;54
683201183;936493128;2021-07-04 16:24:49;Siedlerchr;closed;2021-07-05 20:04:10;True;2021-07-05 20:04:10;53
681002429;933858175;2021-06-30 15:54:44;mohit038-zz;closed;2021-07-05 20:07:31;True;2021-07-05 20:07:31;52
591119614;829457169;2021-03-11 19:28:46;Siedlerchr;closed;2021-03-12 12:56:41;True;2021-03-12 12:56:41;51
