id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1500423885;1879289852;2023-09-04 00:19:30;ThiloteE;closed;2023-09-04 00:24:16;True;2023-09-04 00:24:16;465
1500273167;1879096766;2023-09-03 13:23:06;ThiloteE;closed;2023-09-03 19:00:45;True;2023-09-03 19:00:45;464
1500270343;1879093416;2023-09-03 13:15:50;ThiloteE;closed;2023-09-03 19:00:59;True;2023-09-03 19:00:59;463
1496076378;1874293915;2023-08-30 20:06:07;smfactor;closed;2023-08-30 20:27:40;True;2023-08-30 20:27:40;461
1472936124;1848082875;2023-08-12 15:41:56;gr7ffo;closed;2023-08-12 18:10:21;True;2023-08-12 18:10:21;459
1406833399;1773472633;2023-06-25 20:13:51;ThiloteE;closed;2023-07-17 20:04:09;True;2023-07-17 20:04:09;457
1369982981;1731724849;2023-05-30 07:56:52;Siedlerchr;closed;2023-06-06 18:43:49;True;2023-06-06 18:43:49;455
1369937925;1731673628;2023-05-30 07:22:40;tobiasdiez;open;NA;False;NA;454
1315725434;1670143997;2023-04-16 21:18:46;calixtus;closed;2023-09-03 11:33:56;True;2023-09-03 11:33:56;451
1312965824;1666931688;2023-04-13 18:29:07;calixtus;closed;2023-09-03 11:35:25;True;2023-09-03 11:35:25;450
1285477217;1635333266;2023-03-22 09:01:45;floxdeveloper;closed;2023-03-22 09:44:11;True;2023-03-22 09:44:11;446
1272424804;1620495740;2023-03-12 20:11:48;MaryJml;closed;2023-03-22 09:47:46;True;2023-03-22 09:47:46;443
1270298705;1617983726;2023-03-09 20:56:28;LyzardKing;closed;2023-03-09 21:02:15;True;2023-03-09 21:02:15;442
1225180744;1566460102;2023-02-01 16:51:46;jkulesza;closed;2023-02-13 19:14:35;True;2023-02-13 19:14:35;440
1214782330;1554617126;2023-01-24 09:26:30;Krzmbrzl;closed;2023-02-13 19:14:15;True;2023-02-13 19:14:15;438
1188757373;1523256512;2023-01-06 22:27:00;ThiloteE;closed;2023-02-13 19:14:57;True;2023-02-13 19:14:57;437
1171968850;1504321859;2022-12-20 10:22:18;allydunham;closed;2023-01-02 22:27:26;True;2023-01-02 22:27:26;431
1153675714;1484179324;2022-12-08 09:40:59;claell;closed;2022-12-08 17:29:02;True;2022-12-08 17:29:02;426
1153670745;1484174027;2022-12-08 09:38:40;claell;closed;2022-12-08 17:29:12;True;2022-12-08 17:29:12;425
1132334859;1460472380;2022-11-22 19:57:13;ThiloteE;closed;2022-12-14 23:07:16;True;2022-12-14 23:07:16;424
1128874815;1456573803;2022-11-19 16:50:05;LyzardKing;closed;2022-11-19 17:33:49;True;2022-11-19 17:33:49;423
1128139393;1455743198;2022-11-18 20:18:19;koppor;closed;2022-11-18 20:21:18;True;2022-11-18 20:21:18;422
