id;date;event;creator_login
36106268;2013-01-30 13:55:10;head_ref_deleted;randomecho
36080641;2013-01-30 09:20:09;closed;tlberglund
36080639;2013-01-30 09:20:09;merged;tlberglund
36080638;2013-01-30 09:20:09;referenced;tlberglund
236194882;2015-02-16 09:21:28;unassigned;randomecho
45087005;2013-04-13 04:39:44;closed;matthewmccullough
41232895;2013-03-12 21:38:16;assigned;ghost
38727827;2013-02-21 17:20:15;subscribed;tlberglund
38727825;2013-02-21 17:20:15;subscribed;pakwit
38727823;2013-02-21 17:20:15;subscribed;matthewmccullough
38727821;2013-02-21 17:20:15;subscribed;randomecho
38713066;2013-02-21 15:56:25;subscribed;furyus
80542986;2013-12-09 21:07:55;closed;matthewmccullough
80542985;2013-12-09 21:07:55;subscribed;jordanmccullough
80537247;2013-12-09 20:45:08;subscribed;jordanmccullough
48241656;2013-05-09 15:20:29;subscribed;brntbeer
48207472;2013-05-09 09:33:38;subscribed;randomecho
47862180;2013-05-07 03:56:59;subscribed;brntbeer
80534813;2013-12-09 20:34:36;subscribed;schacon
80534496;2013-12-09 20:33:21;subscribed;schacon
80522354;2013-12-09 19:45:59;closed;matthewmccullough
54274960;2013-06-26 22:50:59;subscribed;schacon
80829274;2013-12-10 22:18:16;head_ref_deleted;brntbeer
80619440;2013-12-10 05:09:22;closed;matthewmccullough
80619439;2013-12-10 05:09:21;merged;matthewmccullough
80619438;2013-12-10 05:09:21;referenced;matthewmccullough
