id;date;event;creator_login
263468708;2015-03-24 13:08:16;closed;bkeepers
141778;2011-04-05 12:44:54;subscribed;jlecour
263468635;2015-03-24 13:08:08;closed;bkeepers
810533;2011-05-23 17:22:35;subscribed;nberardi
197222420;2014-11-22 18:09:16;closed;gjtorikian
6048503;2011-11-29 19:37:35;subscribed;tokuhirom
263468519;2015-03-24 13:07:54;closed;bkeepers
15440296;2012-05-14 19:46:08;subscribed;ferlatte
263467675;2015-03-24 13:06:33;head_ref_deleted;bkeepers
263467624;2015-03-24 13:06:29;closed;bkeepers
263467623;2015-03-24 13:06:28;merged;bkeepers
263467622;2015-03-24 13:06:28;referenced;bkeepers
262945673;2015-03-23 23:51:29;subscribed;rsanheim
262945672;2015-03-23 23:51:29;subscribed;josh
262945671;2015-03-23 23:51:29;subscribed;aroben
262945670;2015-03-23 23:51:29;subscribed;eanakashima
262945669;2015-03-23 23:51:29;subscribed;dgraham
262945667;2015-03-23 23:51:29;subscribed;mislav
262945666;2015-03-23 23:51:29;subscribed;jonrohan
262945665;2015-03-23 23:51:29;subscribed;mtodd
