login;commits;percentage
aaronpuchert;5;0.08739730816290858
steinwaywhw;6;0.1048767697954903
jrnold;6;0.1048767697954903
lbajolet;6;0.1048767697954903
chrislgarry;6;0.1048767697954903
hawkw;6;0.1048767697954903
JoshTheGeek;6;0.1048767697954903
Shoelace;6;0.1048767697954903
jaxzin;6;0.1048767697954903
joshaber;6;0.1048767697954903
lparenteau;6;0.1048767697954903
ellemenno;6;0.1048767697954903
tclem;6;0.1048767697954903
keplersj;6;0.1048767697954903
johnjcamilleri;6;0.1048767697954903
wesinator;6;0.1048767697954903
metopa;6;0.1048767697954903
vszakats;6;0.1048767697954903
dwarfland;6;0.1048767697954903
Giacom;7;0.12235623142807202
parkr;7;0.12235623142807202
c-lipka;7;0.12235623142807202
anpar;7;0.12235623142807202
ztmr;7;0.12235623142807202
emma-burrows;7;0.12235623142807202
Mailaender;7;0.12235623142807202
marceloramires;7;0.12235623142807202
floscher;7;0.12235623142807202
kusma;7;0.12235623142807202
anaisbetts;7;0.12235623142807202
ilovb;7;0.12235623142807202
mbdoud;7;0.12235623142807202
roodboi;7;0.12235623142807202
thomasvandoren;7;0.12235623142807202
vitaut;8;0.13983569306065372
matejak;8;0.13983569306065372
dalehenrich;8;0.13983569306065372
apennebaker-ni;8;0.13983569306065372
azenla;8;0.13983569306065372
orthopteroid;8;0.13983569306065372
woodruffw;8;0.13983569306065372
bfontaine;8;0.13983569306065372
phase;8;0.13983569306065372
hoelzro;9;0.15731515469323545
tmm1;9;0.15731515469323545
kevinsawicki;9;0.15731515469323545
edmundito;10;0.17479461632581716
williamd1k0;10;0.17479461632581716
sebgod;10;0.17479461632581716
benbalter;10;0.17479461632581716
fingolfin;10;0.17479461632581716
fushnisoft;11;0.19227407795839888
edm00se;11;0.19227407795839888
scottmangiapane;12;0.2097535395909806
ismailarilik;13;0.2272330012235623
SparkysWidgets;13;0.2272330012235623
tesch1;13;0.2272330012235623
brandonblack;13;0.2272330012235623
draegtun;14;0.24471246285614404
stevepiercy;15;0.26219192448872575
mislav;15;0.26219192448872575
brianmario;16;0.27967138612130743
smola;17;0.2971508477538892
sahildua2305;17;0.2971508477538892
haileys;19;0.3321097710190526
alindeman;20;0.34958923265163433
dragonmux;22;0.38454815591679775
rick;27;0.47194546407970633
gjtorikian;71;1.241041775913302
larsbrinkhoff;85;1.485754238769446
vmg;87;1.5207131620346093
lildude;87;1.5207131620346093
Alhadis;178;3.1113441705995455
aroben;192;3.3560566334556894
bkeepers;204;3.56581017304667
pchaigno;383;6.694633805278798
tnm;497;8.687292431393114
josh;735;12.847404299947563
arfon;1424;24.890753364796364
