dev;repo;dates;len;Tfov;previously;label;after
vkurchatkin;nodejs/node;2018-06-29/2019-12-15;534;28.0;NON_CODING;GONE;NON_CODING(NOW)
tflanagan;nodejs/node;2016-03-16/2017-09-08;541;27.0;NON_CODING;GONE;NON_CODING
skomski;nodejs/node;1970-08-16/2011-08-31;14990;11.0;ACTIVE;GONE;ACTIVE
skomski;nodejs/node;2012-06-18/2015-08-12;1150;8.25;ACTIVE;GONE;ACTIVE
maclover7;nodejs/node;2019-01-30/2020-03-09;404;14.0;NON_CODING;GONE;NON_CODING
Leko;nodejs/node;2018-06-27/2020-03-15;627;30.0;NON_CODING;GONE;NON_CODING
JungMinu;nodejs/node;2017-09-10/2019-01-14;491;92.5;NON_CODING;GONE;ACTIVE
JacksonTian;nodejs/node;2011-05-27/2013-01-21;605;27.0;ACTIVE;GONE;ACTIVE
JacksonTian;nodejs/node;2018-10-06/2020-02-25;507;27.0;ACTIVE;GONE;ACTIVE
hashseed;nodejs/node;2013-02-25/2014-09-11;563;26.0;NON_CODING;GONE;ACTIVE
edsadr;nodejs/node;2017-06-20/2018-10-19;486;13.0;NON_CODING;GONE;NON_CODING
DavidCai1993;nodejs/node;2017-07-14/2018-09-04;417;24.0;NON_CODING;GONE;NON_CODING
brendanashworth;nodejs/node;2017-08-28/2019-11-08;802;31.0;NON_CODING;GONE;NON_CODING
yhirano55;rails/rails;2016-02-06/2017-07-13;523;9.75;ACTIVE;GONE;ACTIVE
wycats;rails/rails;2014-04-10/2018-02-08;1400;30.0;NON_CODING;GONE;NON_CODING
vijaydev;rails/rails;2018-10-14/2020-03-26;529;23.0;ACTIVE;GONE;ACTIVE
thedarkone;rails/rails;2009-03-24/2010-09-22;547;40.0;ACTIVE;GONE;ACTIVE
tarmo;rails/rails;2009-06-10/2017-05-12;2893;17.0;ACTIVE;GONE;NON_CODING
smartinez87;rails/rails;2010-03-23/2011-03-25;367;28.0;ACTIVE;GONE;ACTIVE
sikachu;rails/rails;2008-07-04/2010-01-16;561;10.0;ACTIVE;GONE;ACTIVE
seuros;rails/rails;2016-12-14/2018-05-23;525;13.0;NON_CODING;GONE;ACTIVE
senny;rails/rails;2017-06-19/2018-12-14;543;20.0;ACTIVE;GONE;NON_CODING
senny;rails/rails;2019-01-04/2020-02-25;417;20.0;NON_CODING;GONE;ACTIVE
rsim;rails/rails;2011-12-01/2016-01-06;1497;60.5;NON_CODING;GONE;NON_CODING
rohit;rails/rails;2012-04-20/2014-12-30;984;33.0;NON_CODING;GONE;ACTIVE
robertomiranda;rails/rails;2017-07-08/2019-03-27;627;34.0;NON_CODING;GONE;ACTIVE
robertomiranda;rails/rails;2015-09-22/2017-02-17;514;34.0;NON_CODING;GONE;ACTIVE
rizwanreza;rails/rails;2014-05-01/2019-06-14;1870;50.0;ACTIVE;GONE;NON_CODING
rizwanreza;rails/rails;2012-01-11/2014-05-01;841;50.0;ACTIVE;GONE;ACTIVE
nashby;rails/rails;2014-05-08/2015-06-08;396;24.0;NON_CODING;GONE;ACTIVE
miloops;rails/rails;2011-06-20/2012-07-06;382;65.75;NON_CODING;GONE;NON_CODING
