simonharrer;2136;1;1.0
koppor;477;59;89;155;202;607;2;22;44;256;857;182;61;1327;3017;0.005634736493205171
mortenalver;1762;1;1.0
emraher;1543;2;1.0
caksoylar;1391;1;1.0
uh-comm;1213;1;1.0
thfi;3;1206;4;0.5
Doc73;24;286;787;75;1098;0.0036429872495446266
tobiasdiez;723;6;32;494;1096;1196;2352;0.002551020408163265
lenhard;5;1148;6;0.3333333333333333
Siedlerchr;616;206;127;106;98;1056;0.004734848484848485
samuel-rosa;713;1;1.0
jhshinn;706;1;1.0
gutow;537;2;1.0
jureslak;331;1;1.0
musm;205;2;1.0
rishav142k;99;1;1.0
ju-sh;98;1;1.0
davidemdot;74;2;1.0
github-actions[bot];30;28;31;25;5;31;30;31;31;1326;244;0.045081967213114756
northword;129;1311;130;0.015384615384615385
sreenath-tm;1178;1;1.0
mayrmt;1030;1121;1031;0.0019398642095053346
tdegeus;262;1020;264;0.011363636363636364
AkshatJain9;1006;1;1.0
kingaa;954;1;1.0
Danaroth83;950;1;1.0
iagobaapellaniz;925;1;1.0
jhossbach;853;1;1.0
jmmelko;767;1;1.0
RJDan;742;1;1.0
jannisborn;674;1;1.0
ghost;580;2;1.0
wolfgang-noichl;405;550;406;0.0049261083743842365
Gigiux;3;418;5;0.6
jlaehne;5;12;18;15;40;98;229;189;0.037037037037037035
allcontributors[bot];226;1;1.0
dominicelse;168;1;1.0
patrickmelix;128;1;1.0
jd-a;85;1;1.0
yuzie007;76;1;1.0
nujabse;21;54;22;0.09090909090909091
sumitkharche;95;1;1.0
LukasCBossert;777;1;1.0
