id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
942622624;1243030208;2022-05-20 11:45:00;Bastelbursche;closed;2022-08-22 07:46:49;True;2022-08-22 07:46:49;21
829654008;1111745968;2022-01-23 01:55:49;RJDan;closed;2022-08-22 07:47:14;True;2022-08-22 07:47:14;20
613844787;856233884;2021-04-12 18:27:52;Siedlerchr;closed;2021-08-02 22:42:01;True;2021-08-02 22:42:01;19
524638979;747411547;2020-11-20 11:23:36;teertinker;closed;2020-11-22 10:03:06;True;2020-11-22 10:03:06;18
503869030;722049147;2020-10-15 06:43:47;codelikesuraj;closed;2020-10-22 00:40:12;True;2020-10-22 00:40:12;17
427769536;630739385;2020-06-04 11:26:18;randomchars42;closed;2020-09-13 21:48:36;True;2020-09-13 21:48:36;16
425442209;627690703;2020-05-30 09:41:11;randomchars42;closed;2020-06-01 10:20:15;True;2020-06-01 10:20:15;15
236041029;387585992;2018-12-05 04:14:58;cjpoor;closed;2019-01-22 19:11:41;True;2019-01-22 19:11:41;14
235659658;387092852;2018-12-04 02:33:45;cjpoor;closed;2019-01-22 19:11:42;True;2019-01-22 19:11:42;13
177443671;308568917;2018-03-26 13:19:58;vanukkalla;closed;2018-03-29 13:35:43;True;2018-03-29 13:35:43;12
177443166;308568236;2018-03-26 13:18:02;vanukkalla;closed;2018-03-28 13:52:04;True;2018-03-28 13:52:04;11
177442256;308567039;2018-03-26 13:14:40;vanukkalla;closed;2018-03-28 13:51:56;True;2018-03-28 13:51:56;10
177441265;308565684;2018-03-26 13:11:22;vanukkalla;closed;2018-03-28 13:51:48;True;2018-03-28 13:51:48;9
177440416;308564571;2018-03-26 13:08:16;vanukkalla;closed;2018-03-28 13:51:38;True;2018-03-28 13:51:38;8
177440385;308564521;2018-03-26 13:08:06;vanukkalla;closed;2018-03-28 13:51:26;True;2018-03-28 13:51:26;7
177438482;308562101;2018-03-26 13:01:13;vanukkalla;closed;2018-03-28 13:51:18;True;2018-03-28 13:51:18;6
177435082;308557645;2018-03-26 12:48:30;vanukkalla;closed;2018-03-28 13:50:31;True;2018-03-28 13:50:31;5
177395295;308505150;2018-03-26 09:55:59;vanukkalla;closed;2018-03-28 13:50:55;True;2018-03-28 13:50:55;4
177360702;308457860;2018-03-26 07:18:53;vanukkalla;closed;2018-03-28 13:50:16;False;NA;3
