id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1240264306;1583798453;2023-02-14 09:22:48;xJREB;closed;2023-02-14 11:29:57;True;2023-02-14 11:29:57;122
1031226243;1344509832;2022-08-19 14:19:50;tobiasdiez;closed;2022-08-24 11:10:26;True;2022-08-24 11:10:25;120
878230077;1167368988;2022-03-12 18:52:24;k3KAW8Pnf7mkmdSMPHz27;closed;2022-03-12 19:47:41;True;2022-03-12 19:47:41;119
866508338;1153767461;2022-02-28 07:56:12;Siedlerchr;closed;2022-02-28 07:56:20;True;2022-02-28 07:56:20;118
857745258;1143831251;2022-02-18 21:58:52;Siedlerchr;closed;2022-02-18 21:59:00;True;2022-02-18 21:59:00;117
845957550;1130820568;2022-02-10 19:56:23;Siedlerchr;closed;2022-02-10 19:56:37;True;2022-02-10 19:56:36;116
843150637;1127648285;2022-02-08 19:05:59;Siedlerchr;closed;2022-02-10 19:45:49;True;2022-02-10 19:45:49;115
761725339;1030666737;2021-10-19 19:25:39;socadk;closed;2021-10-19 19:26:01;True;2021-10-19 19:26:01;113
723628479;984163224;2021-08-31 18:25:50;Siedlerchr;closed;2021-08-31 18:44:57;False;NA;112
688443926;942748544;2021-07-13 05:03:21;dependabot[bot];closed;2021-07-14 21:04:13;True;2021-07-14 21:04:13;110
628216254;873391568;2021-04-30 21:47:37;dependabot[bot];closed;2021-05-01 09:53:27;True;2021-05-01 09:53:27;108
603293588;843982386;2021-03-30 01:50:36;dependabot[bot];closed;2021-03-30 11:45:27;True;2021-03-30 11:45:27;107
559491965;791431571;2021-01-21 19:27:15;Siedlerchr;closed;2021-02-01 19:45:41;True;2021-02-01 19:45:41;106
530573724;754724589;2020-12-01 21:04:01;Siedlerchr;closed;2020-12-13 20:58:48;False;NA;105
419159009;619776431;2020-05-17 19:12:03;tobiasdiez;closed;2020-05-23 13:12:24;True;2020-05-23 13:12:24;100
410371839;608628731;2020-04-28 21:29:31;mlep;closed;2020-05-19 05:32:27;True;2020-05-19 05:32:27;99
383156417;574919099;2020-03-03 20:24:23;calixtus;closed;2020-03-03 23:59:38;True;2020-03-03 23:59:38;96
363292694;550375490;2020-01-15 19:11:10;tobiasdiez;closed;2020-02-25 20:44:04;False;NA;95
