koppor;14;2;10;9;17;15;2;2;8;5;4;2;19;10;6;12;7;2;2;39;4;22;15;8;5;3;9;8;2;19;36;6;23;2;21;3;68;286;12;41;14;10;353;239;4;101;1423;0.04778636683063949
mlep;11;3;3;49;2;5;4;7;4;100;5;16;4;28;15;2;3;3;50;259;107;870;104;1561;0.02114029468289558
stefan-kolb;1080;349;1081;0.0018501387604070306
chochreiner;2;1424;3;0.6666666666666666
oscargus;1411;1;1.0
boceckts;2;3;8;1374;15;0.3333333333333333
simonharrer;1366;1;1.0
matthiasgeiger;6;37;4;19;17;8;7;5;23;48;1189;177;0.07344632768361582
tobiasdiez;306;148;495;7;23;320;123;824;947;2247;0.004005340453938585
mairdl;1254;1;1.0
Siedlerchr;15;14;2;7;172;15;148;12;220;2;262;267;403;51;222;161;2;8;10;775;1995;0.010526315789473684
LinusDietz;119;109;265;272;71;766;0.006527415143603133
lex111;101;1;1.0
reox;82;1;1.0
ctreude;53;1;1.0
xJREB;1126;1;1.0
k3KAW8Pnf7mkmdSMPHz27;787;1;1.0
socadk;643;1;1.0
dependabot[bot];31;74;545;106;0.02830188679245283
calixtus;48;1;1.0
jscott0;66;1;1.0
jonititan;1444;1;1.0
