jspahrsummers;3;34;4;2;3;4;2;5;3;3;8;2;12;8;5;6;9;4;2;26;2;47;28;34;4;6;15;26;5;11;10;15;15;13;73;3;87;47;63;24;26;90;14;9;71;83;1742;985;0.06598984771573604
joshaber;6;5;5;2;5;2;5;2;3;8;50;37;55;33;14;8;30;11;19;10;13;11;84;112;14;13;84;11;49;149;249;3;1573;1116;0.04121863799283154
boidanny;2;3;6;8;13;12;20;14;26;4;40;24;19;18;5;6;38;24;4;2;6;4;24;2;169;14;27;147;1987;694;0.059077809798270896
Bigboybad;6;13;89;2;48;48;5;4;59;20;3;2;38;76;120;126;21;1987;686;0.033527696793002916
jch;2665;1;1.0
jwilling;39;4;31;230;2332;309;0.02912621359223301
luosheng;2638;2;1.0
joshvera;525;2;73;10;2025;613;0.011419249592169658
Machx;5;14;15;42;2555;80;0.1
baz;2626;1;1.0
pwightman;2566;1;1.0
indragiek;19;2;567;1920;590;0.00847457627118644
atomkirk;2479;1;1.0
3rdcycle;2451;1;1.0
anozaki;2438;1;1.0
rastersize;2376;1;1.0
rewish;2348;1;1.0
mdiep;4;2;8;10;2;3;11;7;3;2;16;79;2;13;35;232;159;8;78;1497;679;0.035346097201767304
robrix;12;9;4;62;23;2036;113;0.07079646017699115
interstateone;1986;1;1.0
alanjrogers;1905;1;1.0
tbodt;1498;1;1.0
