caniszczyk;213;356;61;1919;631;0.006339144215530904
oreoshake;3;6;3;2;4;7;15;19;12;2;9;13;3;4;11;58;2;3;3;33;10;64;2;37;10;74;14;51;28;10;46;2;2;2;13;5;14;28;15;8;5;6;16;2;9;31;5;56;41;5;5;36;6;6;4;39;3;7;27;7;4;7;2;4;3;13;5;7;16;8;4;7;13;7;3;4;21;4;2;6;2;3;10;5;3;2;2;2;10;4;3;5;2;8;2;13;2;8;6;5;14;10;4;3;2;8;5;7;8;19;2;4;16;12;13;15;2;17;38;2;11;29;13;2;42;7;4;8;27;2;18;9;13;2;4;3;3;30;2;8;13;4;3;8;15;9;17;6;8;6;46;11;9;3;8;33;15;14;6;7;73;7;211;4;119;47;70;22;56;2;4;2546;0.08876669285153181
arturdryomov;2547;1;1.0
bmaland;2547;1;1.0
achiurizo;2538;1;1.0
jviney;2537;1;1.0
theverything;83;2449;84;0.023809523809523808
dcollazo;2529;1;1.0
bemurphy;2525;1;1.0
reedloden;28;11;454;348;1631;842;0.0059382422802850355
coderanger;2463;1;1.0
danhodge;2448;1;1.0
bergren2;2370;1;1.0
jmhodges;2337;1;1.0
salimane;2209;1;1.0
wyattanderson;2121;1;1.0
loganhasson;2070;1;1.0
stve;78;424;50;7;19;5;5;5;36;166;199;5;2;957;1010;0.02178217821782178
ismell;1961;1;1.0
joshk;1864;1;1.0
naiyt;2;2;1819;7;0.7142857142857143
thirstscolr;1822;1;1.0
jstorimer;1762;1;1.0
jmera;320;1401;321;0.006230529595015576
coolya;1708;1;1.0
vanderhoorn;1664;1;1.0
codelion;1612;1;1.0
j15e;1605;1;1.0
orthographic-pedant;1568;1;1.0
nchelluri;1567;1;1.0
kevgo;1520;1;1.0
mnoack;1496;1;1.0
kplattret;1492;1;1.0
xssc;1485;1;1.0
mccabe615;1466;1;1.0
ReadmeCritic;1434;1;1.0
mattbrictson;1418;1;1.0
jgeiger;1402;1;1.0
ivanreese;1366;1;1.0
stefansundin;1346;2;1.0
davidhan527;1346;1;1.0
dankohn;1340;1;1.0
jurre;1322;1;1.0
xtian;1314;1;1.0
koenpunt;1281;1;1.0
lalithr95;59;1203;60;0.03333333333333333
olivierlacan;1246;1;1.0
btsai;1222;1;1.0
rcaught;1197;2;1.0
anujdas;1190;1;1.0
jeremydurham;1177;1;1.0
mastahyeti;1105;2;1.0
lgarron;1103;1;1.0
bepsvpt;1103;1;1.0
carlosantoniodasilva;175;917;177;0.01694915254237288
grimreaper;1063;1;1.0
connorshea;1114;1;1.0
bobjflong;13;994;14;0.14285714285714285
scouttyg;980;1;1.0
ptoomey3;77;44;26;66;2;8;2;4;708;232;0.04741379310344827
anglinb;15;8;907;24;0.125
diddeb;905;1;1.0
jacobbednarz;30;842;32;0.09375
koenrh;870;1;1.0
srisa;2;849;3;0.6666666666666666
arr-dev;834;1;1.0
steveh;792;1;1.0
paulfri;8;777;9;0.2222222222222222
ghiculescu;696;85;698;0.004297994269340974
eugeneius;661;1;1.0
will;204;1;1.0
JuanitoFatas;4;1;1.0
