login;commits;percentage
ifiwantedto;1;0.006510416666666667
jofielb;1;0.006510416666666667
johandelvallev;1;0.006510416666666667
jssander;1;0.006510416666666667
bkdevelop;1;0.006510416666666667
bharatr21;1;0.006510416666666667
bf;1;0.006510416666666667
betheunique;1;0.006510416666666667
berry120;1;0.006510416666666667
benarou;1;0.006510416666666667
bdach;1;0.006510416666666667
lak7;1;0.006510416666666667
ayushbherwani1998;1;0.006510416666666667
atulim;1;0.006510416666666667
atrusriven;1;0.006510416666666667
apurvachuri;1;0.006510416666666667
malvadeza;1;0.006510416666666667
anuu7312578;1;0.006510416666666667
antonioigorcarvalho;1;0.006510416666666667
anqiii-hub;1;0.006510416666666667
mmihuu;1;0.006510416666666667
andressan6;1;0.006510416666666667
mrtosz;1;0.006510416666666667
naitoreivun;1;0.006510416666666667
ns404;1;0.006510416666666667
andre-schlichting;1;0.006510416666666667
oltman-b;1;0.006510416666666667
alick;1;0.006510416666666667
joethei;1;0.006510416666666667
jiezheng5;1;0.006510416666666667
jfmaas;1;0.006510416666666667
isaacroles;1;0.006510416666666667
darpos;1;0.006510416666666667
css22;1;0.006510416666666667
davidowade;1;0.006510416666666667
dawidowoc;1;0.006510416666666667
deepakkumar96;1;0.006510416666666667
cmoralesmx;1;0.006510416666666667
doc73;1;0.006510416666666667
clunphumb;1;0.006510416666666667
claell;1;0.006510416666666667
douglasjunior;1;0.006510416666666667
ede123;1;0.006510416666666667
eiswindyeti;1;0.006510416666666667
eso31;1;0.006510416666666667
oscartopliss;1;0.006510416666666667
ethantr;1;0.006510416666666667
etienne428;1;0.006510416666666667
evanpickett;1;0.006510416666666667
falschgeldkind;1;0.006510416666666667
freeman6475;1;0.006510416666666667
catarinagomespt;1;0.006510416666666667
gabrielzardoya;1;0.006510416666666667
gan-cheng;1;0.006510416666666667
gdrosos;1;0.006510416666666667
gdstewart;1;0.006510416666666667
carloszoft;1;0.006510416666666667
gnaq;1;0.006510416666666667
hifefish;1;0.006510416666666667
1160300614;1;0.006510416666666667
ethanwharris;1;0.006510416666666667
alexandra-stath;1;0.006510416666666667
asrk03;1;0.006510416666666667
aditya31398;1;0.006510416666666667
rodps;1;0.006510416666666667
rolfstarre;1;0.006510416666666667
steimlfk;1;0.006510416666666667
aidanm11;1;0.006510416666666667
thiagogt;1;0.006510416666666667
sabioes;1;0.006510416666666667
addak;1;0.006510416666666667
alexandergirgis;1;0.006510416666666667
akash1994deep;1;0.006510416666666667
schrothbn;1;0.006510416666666667
shahamish150294;1;0.006510416666666667
suxichangzhen;1;0.006510416666666667
stevensdavid;1;0.006510416666666667
ssrpro;1;0.006510416666666667
taerim25;1;0.006510416666666667
vpbhargav;1;0.006510416666666667
alekssgu;1;0.006510416666666667
pointofnilreturn;1;0.006510416666666667
ravitwr;1;0.006510416666666667
aceldo1;1;0.006510416666666667
eduardogreco;2;0.013020833333333334
herraachen;2;0.013020833333333334
hollyqqqqq;2;0.013020833333333334
credmond;2;0.013020833333333334
denki;2;0.013020833333333334
pikayue11;2;0.013020833333333334
jhshinn;2;0.013020833333333334
